Rule	Period	dx	dy	dz	Iterations
RLRRULRURL	6750	12	12	12	3798889
URRUURL	6724	28	0	0	3594897
LLULUDUUUL	6724	12	0	0	3762757
URUUDRURUL	6722	9	9	0	11639120
LRDDULLUUL	6712	44	0	0	2848291
DUDLLLDUL	6700	56	0	0	3144259
LUUUDLLUUL	6678	10	10	10	3998378
LRLRDDDUUL	6676	44	0	0	4318269
UDLLRLLLUL	6672	14	14	14	3572815
LULLULDUUL	6668	24	0	0	3188425
RRUULRRURL	6654	14	14	0	8551797
LRDLUULULL	6652	48	0	0	2930284
LUDUUULUUL	6648	14	14	14	23987327
UUULRDUUUL	6648	8	8	8	4363817
URULRRURUL	6642	24	24	24	12050444
LRLUUURRRL	6630	28	28	28	3037709
RUUDRRDRL	6630	10	10	10	92295323
UUDULDUUUL	6622	20	20	0	3287740
LULLUUDDUL	6620	12	0	0	15785808
DUDUURULRL	6618	25	8	1	3109377
UDUDDDLRUL	6604	30	0	0	3646720
RRURDUUDL	6588	20	0	0	3254728
ULURLULRRL	6574	14	9	3	3850024
DLLDRLLUL	6574	13	9	4	5788466
UDUDDRULLL	6558	12	12	12	3741023
RLRRLUDUL	6552	10	10	10	8032955
LDLUULULUL	6534	13	10	1	4077890
UDRDLLULUL	6532	32	0	0	2963027
LRLDDDLL	6508	20	0	0	3962024
RUURLUURUL	6504	18	18	18	8476111
UDUDLLULUL	6502	20	20	0	3239311
LLUUULDUL	6470	9	9	0	6206338
RLRUULLLLL	6468	20	20	20	3226930
DUDLLDLRUL	6458	19	19	0	10815939
RURRDRDDUL	6436	36	0	0	55258738
UULDLLULLL	6432	14	14	14	19764461
RLULUUULRL	6432	12	12	12	3708051
RLRLLLLULL	6424	22	0	0	3168750
LLUDLRUULL	6420	36	0	0	2909563
UURLRRUUUL	6420	14	14	14	3532266
RLRUUULLUL	6406	22	22	0	3169386
LRLRRDDLUL	6404	12	10	2	10053748
RRUURUURL	6400	22	0	0	4032925
RLRDDUDUUL	6372	28	0	0	3100126
LLRLUDLUUL	6366	14	14	14	3571143
RLURRRUULL	6356	18	0	0	3308026
DRDLRDDUD	6348	16	0	0	4576241
LRLLRUUDL	6346	14	14	0	104648598
LRRUUULUL	6332	40	0	0	4759660
UURURRURLL	6330	15	15	0	7963054
UULLURLULL	6324	20	0	0	3574849
LRUUDDDULL	6318	10	10	10	4160251
UUUULDUUL	6304	16	0	0	5399604
RUDURLULRL	6282	20	20	20	53319451
ULULUULDUL	6258	16	16	16	3532085
RLDDUDRUL	6258	8	8	8	6621363
RLDDUDUUL	6254	14	14	0	115619405
ULURLULUL	6252	12	12	12	5188155
UDULLRLRUL	6250	26	26	0	3043911
DUDULRDDRL	6244	40	0	0	2861598
DULULLLL	6222	16	16	16	6471398
ULUURLRUUL	6212	32	0	0	18095500
UURLURUUL	6212	8	0	0	8098989
URUUUUULUL	6208	20	0	0	3226103
RRRRRUL	6202	16	0	0	13642111
LRLRRLURUL	6194	16	16	0	4730282
LRULLRRLLL	6192	12	12	12	3666251
UULUUURL	6180	18	18	18	4050399
UDUDRURRRL	6174	15	15	0	3428779
LUUDLLULRL	6172	12	0	0	103766202
UDUDULRUL	6162	20	20	20	10642607
DULLRLL	6140	40	0	0	3200151
DUDURLRURL	6132	12	0	0	4368625
LDLULDULLL	6132	8	0	0	8804065
DULULLLRLL	6108	18	18	18	28631424
UDURRRRUL	6108	16	0	0	4711022
UUDURUDUUL	6096	13	9	2	5752599
UUULLDUULL	6094	8	8	0	4269457
LDLLDUUDL	6066	10	10	10	12639943
UDUUDURULL	6060	44	0	0	2830603
UURDRUURUL	6060	20	0	0	7229841
UUDULUDULL	6030	8	8	8	6590837
UDLDRUULL	6020	40	0	0	3401777
ULURLULLL	6018	18	18	18	4005773
DDLDLDLULL	6012	20	0	0	68653242
LLLRLULRRL	5980	22	0	0	3113618
RRDLRRRDUL	5980	16	0	0	13436935
RLDLDUULUL	5958	22	22	22	3226094
DDLRLLURL	5940	28	0	0	6367252
LRLLRUUUUL	5928	8	8	8	4164390
ULLUDRULLL	5922	12	12	0	3611941
ULULRLRUUL	5918	10	10	0	4480577
LRUUDDUL	5916	18	18	18	4766485
ULURUURL	5904	10	10	10	40347129
UDUDLLURL	5886	22	22	22	3926545
LRLUUULDUL	5886	16	16	0	3343065
LDLUDRDUUL	5878	17	17	0	3557376
RLDLLURULL	5860	28	0	0	36400381
ULLUULDUUL	5860	20	0	0	3245193
DRRRRLDRUL	5860	8	0	0	4189643
ULULLULRLL	5856	12	12	12	3632172
LRULULLDUL	5852	20	0	0	97846632
RLRLDRDUD	5844	20	0	0	4000709
UDLDLLDLUL	5842	21	21	0	3129223
RLRDDDRRUL	5812	24	0	0	4215169
UDLLRURRUL	5804	64	0	0	2760841
LULDLLDDUL	5796	12	12	12	24095195
ULULRRUULL	5778	8	8	0	4214190
UUULURLL	5750	10	10	0	5114656
LRLLRDRUL	5748	24	0	0	3731074
DUDURRLRLL	5742	10	10	10	39816438
UUURUUURL	5730	15	15	0	4460173
DDLDRLDRL	5726	13	13	0	129189258
UDRDRURDUL	5718	12	12	12	4175249
DULULRLURL	5714	17	17	0	3279069
LLUDDURULL	5708	20	0	0	27205706
UULDUUUUL	5700	32	0	0	21839929
RRRLRURLL	5688	12	12	12	4972557
RLUUDDUDUL	5682	10	10	10	3789407
DURLDURLLL	5670	21	21	0	3116404
RLRDDRLULL	5646	12	12	12	3591678
RLRLRRDUD	5644	36	0	0	41274046
RDUULRDDUL	5640	34	0	0	12332811
LULULUUDUL	5640	14	0	0	4051332
LRLUULRRUL	5634	16	16	16	4240076
URURRRRRUL	5616	10	0	0	74973465
DUDURLURLL	5604	28	0	0	5207731
UULRURRLLL	5604	20	0	0	4454373
UUDUULDDUL	5604	18	18	18	3330067
RLDLDDRDUL	5598	12	12	12	3548429
UDUDLULULL	5596	56	0	0	2732501
DULLRUURLL	5580	10	10	10	3928233
URLLLLRUUL	5574	15	15	0	3996103
LLRLURLURL	5574	8	8	8	4120444
LLRLUUULLL	5562	16	16	16	3408681
LLDUDDULRL	5556	10	10	10	93911002
DULDLLDLUL	5526	20	20	20	20139157
RLUUDLUULL	5514	16	16	16	3367705
LRLUUULUL	5514	12	12	0	4855856
DUDURDLDUL	5506	20	20	0	3120989
RLUUDURLL	5496	18	18	18	19276821
RLRLULDUUL	5492	34	0	0	2865785
UDLDDUDDUL	5466	10	10	10	13403798
RLULUULLL	5452	28	0	0	47794657
LRDLUDURL	5452	24	0	0	88202683
UDUDDURLUL	5452	20	0	0	91890694
DDUDLLLRUL	5444	20	0	0	3123731
RRRRUURUL	5424	16	16	16	4265131
DLLDDUL	5418	14	14	14	4237358
UDRDRLUL	5406	22	22	22	3715508
UDURRRUUUL	5404	36	0	0	2840946
DURDDDRURL	5400	21	11	10	3084239
DURDRLRLUL	5388	18	18	18	3254118
ULUUURULL	5388	8	0	0	9726823
RLRLLUURUL	5376	20	20	20	3107013
RLRLLDLLUL	5372	60	0	0	2711260
LULDUULLUL	5364	24	0	0	3035230
RRRRUURUUL	5356	32	0	0	10827906
LLLRLULLLL	5356	28	0	0	13208166
LRUUDRDUUL	5342	24	24	0	3130048
URULUULL	5334	18	18	18	4217582
UUULLRRUL	5332	22	0	0	13211402
UUDULLL	5328	24	0	0	3516326
UDURRLDUUL	5328	16	16	16	3247555
LRUUDULDRL	5322	26	26	26	2964128
RLRUULURL	5316	36	0	0	6140779
UDULLLDUL	5310	12	12	12	4765151
DUDDLLLDUL	5304	10	10	10	3939973
UURLURL	5292	36	0	0	3213392
ULULRLULL	5292	28	0	0	3501483
LRLDDULRLL	5292	14	0	0	3995247
RRULUUURUL	5284	28	0	0	2933580
DLDDRLULLL	5276	40	0	0	6327074
UDLDDDLUUL	5274	16	9	1	44531519
RRULDRURLL	5262	13	13	0	3434384
DUDULLDURL	5262	10	10	10	9491734
RRRURDUUUL	5260	28	0	0	2927744
DURLDULRUL	5248	22	0	0	3044460
RLRRLURURL	5236	32	0	0	4124780
ULUUDLLLUL	5226	10	10	10	3756454
UDUDUURRRL	5220	20	0	0	3102335
DDUUDUULL	5220	10	10	10	16008969
DRDLLLDLUL	5212	12	0	0	3919507
LRDUUULUUL	5204	9	9	6	3796269
RLRLUUUDUL	5184	28	0	0	2941106
DDUDRLURLL	5180	36	0	0	2827636
DDLRLDRLUL	5180	20	0	0	7934749
DDRLRRDRL	5178	12	12	12	5391437
ULUUDLUL	5172	12	12	12	4434622
LRLRUULLUL	5168	11	9	6	3944869
LRLRDUDUD	5156	44	0	0	4732959
LRDLLRURLL	5148	18	0	0	3531227
RLRUUUDUL	5140	16	0	0	4199760
LLRLURULL	5138	15	6	1	23522736
UDULRULDRL	5136	28	0	0	6305281
LUDULDDDUL	5136	6	6	6	6496609
LDLDLLUL	5088	6	6	6	78880739
LRLRRDRUL	5084	40	0	0	3164546
LRDLULRRLL	5084	28	0	0	21287800
LLLDDLDDUL	5084	20	0	0	3155663
DLLDRLLURL	5082	13	13	0	12189670
DUDULLLL	5076	20	20	20	3640598
UDULLDRRUL	5064	18	18	18	3317605
UDULLRRLLL	5060	36	0	0	2825545
DULLRLDUL	5060	30	0	0	3394668
LRLRRRURLL	5058	16	16	16	3226496
UDUUDLDDUL	5054	23	23	0	46041823
DUDURRDRL	5044	24	0	0	44380128
ULLLUULRUL	5042	10	10	0	4059260
DUDDRDURL	5028	20	0	0	89012086
ULUULUDULL	5022	20	20	20	8563965
DUDLLULRRL	5016	20	20	20	5437884
UUUDUURUUL	5016	10	10	10	3624369
DUDLLRUDUL	5004	12	12	12	3434878
LRDLLUUL	5004	10	10	4	5530661
DULDDURRL	4998	17	16	1	3545251
DURDLLUULL	4996	28	0	0	7002255
RLULUUULLL	4992	22	22	22	3012744
DULLRRRUUL	4980	40	0	0	2807789
URULUURURL	4980	14	14	14	3311292
DUDLLRUL	4964	40	0	0	3060022
URLRURLLLL	4962	13	13	0	7689225
LRURUUL	4956	10	10	10	4724075
UDULLUUUUL	4954	14	14	0	4821372
RLRUURULUL	4950	12	12	12	4792530
UDUDDLDUL	4948	24	0	0	3567845
DLLDLUUDL	4946	7	7	0	4301103
LRLRDDUUUL	4942	14	14	0	3304933
UDURRDLRUL	4938	12	12	12	3423274
RRLRUDRRUL	4926	8	8	8	4349657
UDLLRRDDUL	4924	12	0	0	50877460
DUDRRLLULL	4920	26	26	26	2927685
ULLUUDLUL	4914	8	8	8	12519121
DUDULLRRUL	4906	21	21	0	6716473
UDULLRDULL	4902	24	24	24	2961097
UDRDRLLRUL	4876	16	0	0	3187513
LLRLUL	4872	16	16	16	26420048
RLRDDURLLL	4868	12	0	0	3424475
LRUDLLDRUL	4860	32	0	0	2849311
DULRULDDRL	4854	24	24	24	2959818
LULLULRL	4852	20	0	0	13202360
URULDULLLL	4844	24	0	0	114934888
URRULRRURL	4824	14	14	14	4131681
LRLDDURDUL	4822	17	17	0	3138193
UDLLRRLUUL	4816	22	0	0	3062325
UDUDDDDULL	4812	12	0	0	4136518
RLRDDRDRL	4796	20	0	0	14087026
UDRUUDLDUL	4784	26	0	0	2931267
RLDRDRUUL	4780	36	0	0	17914603
UDURRRDULL	4766	25	25	0	2961389
DURURRUDRL	4766	9	9	0	4990658
DURRLUULRL	4760	20	0	0	3334656
UDULLLURUL	4758	18	18	0	3105802
DUDUULDDRL	4752	18	18	18	3094756
UDRURRRLUL	4752	16	16	16	3237484
RLRRLDRRUL	4750	16	13	5	21831975
LRLRUURLLL	4746	20	20	20	3035312
ULUUULRULL	4744	8	0	0	3845800
UULUDLULRL	4738	11	11	0	3476060
UULULRLLL	4732	28	0	0	41991578
DUDRRLDUUL	4732	24	0	0	3002316
LLLUDLLUUL	4732	12	11	5	3386673
UDUDUDRUUL	4728	14	14	14	79390512
LLRLDUUUUL	4728	12	0	0	3440995
RLRLDDRURL	4722	18	18	18	6189042
LLLLULURL	4722	6	6	6	7222109
LRURDUUULL	4708	32	0	0	19274817
LLULUDUL	4708	28	0	0	3340301
UULRLLUUUL	4706	12	12	0	3392499
RRLRRDUL	4686	16	16	16	3846795
LLLLLUUDUL	4678	10	10	0	3662758
UDUUDRRULL	4668	20	0	0	3927307
RLRDDRURLL	4668	12	12	12	11154948
DRLUUUULL	4660	28	0	0	53050221
UUULDLUUL	4660	8	0	0	57953688
UDDDLUURL	4656	16	16	16	3991994
ULLLLLRULL	4648	26	0	0	2907297
DURDRURRLL	4644	18	18	18	3344146
RLULUUUUUL	4644	15	7	2	3275847
RLRDDLUULL	4628	28	0	0	3359850
DULULLLUUL	4614	6	6	6	10766954
DUDUURRL	4596	28	0	0	18335491
LRURUULRLL	4596	26	26	26	2900688
RRLRRULLL	4590	12	12	12	4460168
DUURRDRDUL	4582	15	15	0	29027668
RRULRRDDRL	4578	14	14	14	5283887
UDRDLURDUL	4572	14	14	14	4091852
LLLDDDDUUL	4570	13	13	0	3294073
UUDLRLUUL	4560	14	14	14	4192417
LDLULLULLL	4556	16	0	0	12145452
RDRRUDRUL	4554	12	12	12	6821930
LUULLRULUL	4540	36	0	0	2833575
DUDURRRLL	4534	12	12	0	4219896
UUUDUULLUL	4530	10	10	10	4792643
DLLDULLULL	4524	16	0	0	5716020
UDULLLLLRL	4516	28	0	0	3704424
ULURLUUDUL	4514	8	8	0	4028101
UDUDLLLDUL	4506	8	8	8	3782125
DULULLLDUL	4492	24	0	0	38073800
UULRLLLUL	4488	14	14	14	4147248
RLRUUURRL	4488	10	10	10	3521002
RRRRURRURL	4482	7	7	0	4839872
UULDLULLL	4476	16	0	0	3762039
UDUDRRLUL	4468	20	0	0	102609922
DDLLLDUL	4460	20	0	0	114296373
UULLUDRLUL	4458	18	18	18	3060403
UDULLLLLLL	4456	20	0	0	6033878
RUURULRUUL	4452	20	0	0	3059462
DULRLRL	4436	24	0	0	3332979
DULULLUUUL	4434	8	8	8	9643132
UDULLURLLL	4422	16	16	16	3120903
ULURUULLLL	4422	14	14	14	3551572
DUDURLRUUL	4414	18	18	0	3060439
RLDRRUUDL	4412	36	0	0	3096472
RLRDDLLRUL	4402	16	16	0	3189465
DUDRRDLUUL	4396	44	0	0	3221285
DUDUULLRRL	4386	26	26	26	2892929
DRDDLRDDRL	4386	16	16	0	3857027
LLRLURLLLL	4386	10	10	10	3483326
DUDRLDRURL	4380	12	12	12	4724727
LRLRLRDRL	4374	9	9	0	6552575
RRURRRRL	4372	28	0	0	3760752
DDUDLDULL	4368	10	10	10	4964800
RLRLLLULRL	4366	19	19	0	4277778
ULLRUUL	4356	10	10	10	4461153
DDRLDUL	4348	24	0	0	15182224
LLRLLLRULL	4348	12	0	0	7308710
UDULLLLURL	4344	10	9	5	8023095
UDUDULLURL	4332	32	0	0	3714640
ULUUUURRL	4332	6	6	6	4119798
DULRDDULUL	4314	16	16	16	3175518
DUDDUUDULL	4310	12	12	0	4942009
RLDRRULULL	4308	28	0	0	4947569
LLULLLDUL	4308	8	0	0	5430052
ULULRLLL	4308	6	6	6	17929508
LRLRUUUDL	4300	24	0	0	2910276
URULUULUL	4296	8	8	8	64492247
UDLURLRLL	4292	16	0	0	67881172
RLRLURURLL	4284	40	0	0	2748233
LLLDRDULLL	4284	10	10	10	72122944
RUDDURDDUL	4278	6	6	6	4182028
LRUUDULRUL	4274	13	13	0	112703001
LRLUURRURL	4266	18	18	0	3033586
UURDUULLLL	4266	8	8	0	4930733
DLLDDLLLUL	4252	12	0	0	3505756
RLURULURUL	4248	14	14	14	5169955
RRURRRDRUL	4244	16	0	0	3858056
UDRLLDRULL	4242	12	12	12	3288483
DULDRULDUL	4230	19	19	0	3005990
DURLLULDRL	4224	16	16	16	3095562
RLDLULURL	4224	14	14	14	17398744
DUDULRLRUL	4220	24	0	0	2907303
LRLRRDUUUL	4220	16	0	0	3102140
LRDDUUULL	4212	44	0	0	2994078
LRLLRRDLUL	4212	40	0	0	2743278
RLDLURLRLL	4212	36	0	0	6822865
RLLUUDULL	4212	20	0	0	3602573
LRLDDDLRUL	4212	14	14	14	3585313
UDURRDDUUL	4200	14	14	14	3201860
DURDDDLLUL	4198	22	22	0	50212771
RLRRLURULL	4196	32	0	0	5855245
RLRUURDUD	4188	12	12	12	4533581
DUDDRRUDRL	4184	16	0	0	3100149
URDUUUDDRL	4182	18	18	18	3023265
LRLDDRRRUL	4182	15	15	0	3125992
UDUUDUUUUL	4182	8	8	8	17791652
RLUUDRDDRL	4170	12	10	2	3324211
LLLRLLLUL	4158	10	10	10	4630379
LLULLLRLUL	4156	20	0	0	8631055
DULRDDUUL	4152	14	14	14	4020548
LLRLURLUUL	4152	12	12	12	3276960
UDUUDRDLUL	4142	14	14	0	3177826
RRUUUUURUL	4122	12	12	12	4203045
DULURDLULL	4120	24	0	0	15377962
RLULUUL	4116	32	0	0	3087809
RLDRDRRUUL	4104	8	8	8	42653072
DUDURLRLLL	4100	12	0	0	12248700
UDURLURRRL	4092	44	0	0	3598578
DULDRDRURL	4092	24	0	0	20555408
UDULLDDUUL	4084	16	0	0	3176838
RURDURRL	4080	12	12	12	4704781
URUURURUUL	4076	8	6	0	5885597
DUDRLDURUL	4072	15	15	12	41978239
LDDULLL	4070	13	13	0	3910922
UDLDLLUUL	4056	20	0	0	3547871
LDDDLUDDRL	4056	8	8	8	3926783
LRDLLDUL	4052	16	0	0	3850619
UUUDUUULLL	4052	8	0	0	4010099
RRLRUDUULL	4050	12	12	12	48965326
LDDULLURLL	4046	11	11	0	7041183
UDUDUDULUL	4044	16	16	16	99828234
LDLLLUDLUL	4038	11	11	0	3348496
LLRLDUDDUL	4036	26	0	0	2955958
DULDDUUUUL	4028	48	0	0	3099744
DDUDDRUL	4028	32	0	0	3075411
ULLLLLRUUL	4026	8	8	8	97779830
ULULDLLLUL	4022	10	10	0	3414859
UULLLUUDL	4020	8	0	0	9937517
LDDDDDDURL	4008	8	0	0	14908101
LDUUDLULL	4008	6	6	6	5920432
RLRUULLLL	3986	16	16	0	3776956
RLRUURLUL	3984	20	20	20	3535227
RRRURDUULL	3984	8	8	8	3733548
LRURDLRULL	3980	32	0	0	2802868
DLDLULLLRL	3966	14	14	14	75852124
DUDRRRURUL	3964	24	0	0	2919241
RRRLRURUUL	3964	14	0	0	10303873
RLUUDURRLL	3960	18	18	18	3022708
UDURRLRLUL	3956	20	0	0	2946607
DURULRRUUL	3954	12	12	12	3246472
LLLDLDLUL	3948	28	0	0	3232799
RLURDRDURL	3948	18	18	18	3474832
RLURRRLL	3926	12	12	0	7624595
UDRRLRRURL	3918	12	12	0	5839827
UUDDDUUDUL	3916	20	0	0	3090257
DDUDDRRRUL	3912	14	14	14	3610016
LLRLLLUUUL	3912	6	6	6	10597666
DUDRRDRURL	3906	7	7	0	3776384
RLULUDDRUL	3900	36	0	0	3562228
LRULDLLLUL	3900	32	0	0	3019021
UUUDULLURL	3900	24	0	0	40227540
LLULRULLUL	3900	16	0	0	3057346
DURRLLRRRL	3894	14	14	14	33109730
DUDULDRURL	3892	44	0	0	2701454
RLRLURUULL	3888	12	12	12	5157449
DUDDULDLUL	3888	8	8	8	3638742
DUDRRURRUL	3884	32	0	0	4602721
UULDUUURUL	3884	20	0	0	3092165
UDRDLDDDRL	3884	12	0	0	36318450
LLLLDURLL	3870	6	6	0	11705595
LLLRLLDRUL	3864	24	0	0	2869190
DLLRDRDDRL	3860	28	0	0	2812105
LULUDUUUL	3860	16	0	0	3756124
ULULDLLUL	3858	12	12	0	4420636
RLDRUURLL	3844	28	0	0	3206429
DULLRUULL	3840	20	0	0	4440805
UULURRLULL	3840	8	8	8	4166155
RRLRURDUD	3836	20	0	0	3781559
DULRDRULLL	3834	14	14	14	3132540
UUDULLLLL	3834	12	12	12	4148798
LRULLRRUL	3830	18	18	0	3801113
RUUURRLRRL	3828	20	0	0	2935835
LLRLDUUUL	3820	40	0	0	2994850
DURUUUUUUL	3816	16	16	16	5971574
UULDULRULL	3812	28	0	0	5164567
LRLRUURLL	3810	18	18	0	3592587
RLDRURLLL	3810	10	10	10	4691563
RLDURURL	3806	13	13	0	3814792
DURURRRRRL	3796	12	0	0	3479331
UUULDLUUUL	3790	11	11	0	27505012
LRLRRRDRL	3788	18	0	0	3611173
RLRDURDUD	3782	12	12	0	4781150
LLUDDRULLL	3782	7	7	0	8701894
RLRRLDRULL	3778	18	12	2	2978143
UDLRURLRRL	3778	13	13	0	3161710
UDLURLURUL	3756	14	14	14	98721097
UUDURRULUL	3756	12	12	12	30284919
UDRUUDDRUL	3754	18	18	0	2970344
UDRURLULL	3754	9	8	7	4638673
DURDDRRDUL	3744	18	18	18	2985953
UDRLUUURL	3738	12	12	12	4154510
UUUDLLLRUL	3732	20	0	0	3762509
DUDRLLLRUL	3726	11	11	0	3270095
RUURDURUUL	3724	16	0	0	85998151
UDUUDRRURL	3720	14	14	14	3098890
UDLUUDRDUL	3714	10	10	0	4313551
LDLLLDULLL	3708	24	0	0	2850501
DLLDULL	3708	16	0	0	4821695
LRUUDRDUD	3696	18	18	18	3561593
LLLLDDDURL	3696	12	12	12	111561243
DURDRLDUL	3690	17	17	0	4075893
LRLRRRRUL	3684	20	0	0	22974238
UDRLDLLUUL	3672	30	30	30	2781882
UULDLLLUL	3666	4	4	4	9883585
UULLDUUUL	3660	24	0	0	14913778
DLDRLLURLL	3652	20	0	0	4523849
LRRDLDLUUL	3642	15	15	0	120823504
LRLRULULL	3636	44	0	0	2929342
UURRUUURL	3630	8	8	8	4832318
URLRURULUL	3628	24	0	0	7438616
LDLUUDDLUL	3624	10	10	10	10595690
LULLLDLDUL	3624	10	0	0	3314334
RLUDRRRULL	3618	12	12	12	3229335
RURRRUUUL	3614	12	12	0	63882116
LDLLDDLUL	3612	10	10	10	4354205
DURULDRDUL	3610	16	16	0	112340416
DDUDLLULUL	3600	26	0	0	2906809
ULURLLLULL	3600	12	12	12	3176619
RLRUUDLUL	3594	16	16	16	3651149
UDUDLULL	3588	28	0	0	3084892
UDLUULRRLL	3588	24	0	0	2841979
UDUURRLRRL	3588	14	14	14	26372854
RLRLLLLLUL	3588	8	0	0	3519757
LUDDDDRDUL	3584	20	0	0	2959371
RDRUDURRRL	3582	12	12	0	3308593
UDLLRDRUL	3580	32	0	0	3139892
DDUDLURRUL	3580	24	0	0	3563681
ULLURLLLLL	3572	20	0	0	3002437
RLRLDUUULL	3570	12	12	12	4123635
DULLRRRL	3564	14	14	14	6321566
UDULLDRURL	3564	8	8	8	3497159
LLRLUDRURL	3558	10	10	10	4069426
DUDLLUUUL	3552	14	14	14	42484099
LRULLLUUUL	3552	10	10	10	3302335
DRLRRDDURL	3550	12	12	0	3165117
UDLDLLRDUL	3548	12	0	0	3844570
DLLLDLURLL	3546	12	12	12	23391581
RDUUUDRURL	3542	14	14	0	69771320
RURDUUUUL	3540	22	0	0	3359452
DUDDUDULL	3540	12	0	0	89035944
UULRRLULUL	3538	13	13	0	43715255
DUDLLULUL	3534	18	18	0	4391171
RLRUURRUL	3534	17	17	0	3732004
LDURLLLLRL	3528	14	14	14	3660278
RLDRDRDDRL	3524	24	0	0	2907471
RLULUDUDL	3524	20	0	0	3919444
LULULRUL	3524	8	0	0	4892795
LLRLLLRUUL	3522	16	16	16	3017016
DUDUUDUULL	3518	11	11	0	3227159
RLRRLDRUL	3510	10	10	10	4306430
RLULLLRRUL	3510	8	8	8	13477374
LRLRRDLULL	3508	20	0	0	2933869
LULDUUUL	3508	12	0	0	8047948
DURDLRRUL	3500	28	0	0	48758151
RLDRDURLUL	3498	17	17	0	3022749
DUDUUUULUL	3498	12	12	12	3154512
LRLRRDLUL	3492	20	0	0	3399544
UUULRURL	3486	14	14	14	3653289
DURURRRLL	3480	14	0	0	5916548
URURDUUUL	3476	36	0	0	3089871
UURULDUUUL	3476	16	0	0	2993778
LRLUULLDUL	3472	10	9	7	3281893
ULLRUURLUL	3468	28	0	0	2796731
LDLUULUULL	3468	16	0	0	3414169
LURURURULL	3468	6	6	6	3791914
DULDLRDUUL	3466	15	15	0	3027018
URUUUDRUUL	3460	24	0	0	8463341
UDUUDLRUL	3456	10	10	10	6333716
RLULULRL	3444	20	0	0	3356675
UUDULLDLUL	3438	14	14	14	3056522
LLRLULLLUL	3438	12	12	12	3145544
LLUUDUULLL	3438	10	10	10	28635822
LRLUDDDDRL	3436	32	0	0	2751982
RLRUDRRUL	3436	20	0	0	7597063
URUULUUUUL	3432	12	12	12	3228193
DURLULDURL	3426	14	14	0	3050085
UULDRLULL	3426	6	6	0	18870346
LULDUUURL	3420	40	0	0	2951085
UDLULL	3420	24	0	0	3319567
DUDLLRULLL	3414	20	20	20	2885020
RRUDRDDURL	3412	20	0	0	101910626
RLDRDDULL	3412	12	0	0	5734933
RDDRUDUDUL	3408	18	18	18	2939308
UURULRUL	3396	16	0	0	4535357
DUDLLRULUL	3396	10	10	10	3261035
LULUUDLUL	3396	8	0	0	4736800
RDDDDURL	3390	8	8	8	4993880
LRDRULDUUL	3384	10	10	10	3510989
DURDRRUDUL	3380	44	0	0	5311693
DUDUUDUDL	3378	10	10	10	3521380
LRURUULLL	3372	16	0	0	3465164
LUULDUUL	3372	6	6	6	9378304
UDULLDLLUL	3366	14	14	14	3040383
ULLLRUL	3366	12	12	0	13376868
RLDLURDUUL	3364	20	0	0	2914753
UUURDLLUL	3364	18	0	0	3516828
DULRRULRRL	3356	24	0	0	2816340
UDUUDLLULL	3356	20	0	0	3321354
LRLRDLUUUL	3354	16	16	16	3064365
LRRLUULL	3348	12	12	12	4930751
LLULULULRL	3342	4	4	4	122741639
DUDLLULDUL	3336	24	0	0	3043071
DDUDRLURL	3336	10	10	10	4209399
RDULRUURUL	3332	24	0	0	109903705
UDULLULDRL	3330	12	12	12	3153070
RRLRRULLUL	3324	12	12	12	3121826
ULUULDLUL	3320	22	0	0	3280336
LRULURLUL	3316	12	0	0	4565856
UDUDDLDURL	3312	10	10	10	3243045
RLRRDRDUD	3308	20	0	0	99157811
LLDDDRULL	3308	18	0	0	4319554
LULDUULLLL	3300	12	8	4	3133694
RLURULRURL	3300	12	0	0	3352618
LLDULRDDRL	3300	6	6	6	9955780
DDULRLLRLL	3286	6	6	0	4423560
LLLRUUDLUL	3282	6	6	6	3726777
DURDDUUDL	3276	16	0	0	3110196
DUDLLLUULL	3270	13	9	4	3067163
LLULUDLUL	3270	6	6	6	5291812
LDLLLLDULL	3268	12	0	0	3349443
DUDUUUUUL	3264	14	14	14	5898981
UUUULRULLL	3264	6	6	6	3730693
RLRLLDUULL	3262	12	12	0	3576845
DURLULRULL	3260	40	0	0	2691502
DRLRRDDRUL	3258	10	10	10	4853413
UUURRURLUL	3252	8	0	0	34672668
RLRLDUUL	3244	20	0	0	13706782
URRRUUUL	3240	16	0	0	3423870
LRLRRRRURL	3238	10	10	0	3227022
ULLUULUDUL	3236	24	0	0	2929574
DLRRRDDUD	3236	20	0	0	23847072
RLULLRLLL	3228	18	18	18	3468427
UULLUURLUL	3226	10	2	0	11801282
LLUDLDUUL	3204	20	0	0	3600638
LLLUDULLL	3204	14	0	0	3579666
RLRLUUULRL	3204	13	1	0	3082829
LRUDDRULL	3204	12	12	12	3869399
RLRDDULRUL	3196	52	0	0	2640710
DUUDLLDULL	3178	9	9	0	39392017
UDLULLLUL	3174	8	8	8	9728257
RRRURURUL	3168	8	8	8	27796955
UULLDULUL	3168	6	6	6	17992155
DUDLLLULLL	3164	20	0	0	2861591
LDLLLDDLUL	3162	14	14	14	3273936
UUUDULULLL	3162	8	8	8	3646916
DULLRULLRL	3156	10	10	10	3228695
ULUULURULL	3154	9	9	0	36077986
UDLRLLDLUL	3148	20	0	0	2855177
RDRUDDDUD	3144	6	6	6	11475884
DUDURLDULL	3132	16	16	16	3213909
RRLRUUDUUL	3118	9	9	0	3293692
