Rule	Period	dx	dy	dz	Iterations
LLULDLDUUL	178018	42	42	0	23033328
LRUUDUUDL	177330	90	90	90	8865896
DDRLRRDUUL	176324	68	0	0	8494370
RLRRLUUUL	176066	93	93	0	12375620
ULLULUDULL	174120	38	0	0	13000341
RRRURRRRRL	171162	24	24	24	18488273
UDRURDRUL	169876	112	0	0	18489980
ULLULUURLL	166756	92	0	0	7598544
ULLUUURL	165588	16	16	16	58562736
RLUUDLULL	165564	66	0	0	21820059
DUDLLDRLUL	165340	88	0	0	9251685
DUDDULLLL	163596	156	0	0	10545142
ULRRRURULL	163116	30	30	30	14749665
RRDRLRDDRL	161012	88	0	0	7568044
URRULRRRRL	160276	56	0	0	11156219
LRLUDLUL	157662	38	38	38	29547652
LLULLRLL	156020	136	0	0	85689361
RLRLUULRRL	154284	88	50	18	7180179
DURUURLDUL	153220	48	0	0	9866414
DDLRLLDULL	152694	58	58	58	14245738
LRLRRDRDUL	151930	65	65	0	7850668
RLURUUURL	149860	52	0	0	20000660
LUULLDUUL	146910	46	46	46	19117061
LRLLUUL	145626	64	64	0	39369148
LLDLLDULL	144894	32	32	32	26900867
UDURRDDDRL	143772	54	0	0	44060085
UDULLULLL	143466	70	70	70	11983605
LULDUULUUL	141498	62	62	62	26246921
ULLRUULUL	141396	66	0	0	82200053
UDLUUURRUL	140732	66	0	0	11200593
UDRRLDDLUL	140424	62	62	62	7610115
DURRLURRLL	139032	36	36	36	19322618
LULLRULULL	137060	136	0	0	5078627
LRLRRURRL	137028	86	86	86	11213781
UDULLDDURL	136912	102	0	0	6700187
DLLLDDULL	134780	56	0	0	14972794
DDUDDRULLL	132940	68	0	0	69174439
RLDDUDRUUL	130998	55	55	0	30223199
RLDRDRDRL	130652	108	0	0	16368745
RLRLLUDDRL	130566	76	76	76	6581914
LRLDDRRUL	129220	88	0	0	10101929
RLRUUUUL	128976	20	20	20	56015687
LDLLLLULUL	127800	26	26	26	13449831
UDULLDDDUL	127158	26	26	26	13572111
ULLLUURRUL	125120	58	0	0	7561983
LLLRLULUUL	124692	16	16	16	20102865
ULUUDLLULL	121972	104	0	0	10207606
LRULUURRRL	121972	64	0	0	18957960
UDUUDRUULL	121318	61	24	11	7549751
ULURLLULRL	121252	116	0	0	4996411
UDUDDRRUL	121124	110	0	0	8230992
LUULLURL	119980	104	0	0	23576675
LRLRRDLUUL	119694	64	64	64	13202031
LLLUULRUUL	119524	24	0	0	28947582
ULULLURLLL	117974	31	21	8	11087933
UUULLULURL	116694	42	42	42	8811679
UDULLLLRRL	116370	24	24	24	13289372
URRLUUUUL	115860	100	0	0	8758706
ULLRUULL	115588	32	0	0	18748649
UULUUURLUL	114354	32	32	32	16834095
LRULURULUL	114318	54	54	0	103330337
RLRLUDULUL	113424	42	42	42	10572995
UDRURRDUUL	113194	43	43	0	36280166
UDLUURRULL	112072	62	0	0	6652181
DUDRRUUL	111484	120	0	0	6823466
